French_Muni;Swiss_Muni;local_admin_unit_id_from;local_admin_unit_id_to;nb_vehicles
Blotzheim - Rhin (Haut-) - fr-68042;Basel - Bâle-Ville - ch-2701;fr-68042;ch-2701;113.0631874
Blotzheim - Rhin (Haut-) - fr-68042;Riehen - Bâle-Ville - ch-2703;fr-68042;ch-2703;2.231855121
Blotzheim - Rhin (Haut-) - fr-68042;Boncourt - Jura - ch-6774;fr-68042;ch-6774;1.168079367
Blotzheim - Rhin (Haut-) - fr-68042;Delémont - Jura - ch-6711;fr-68042;ch-6711;2.474051201
Blotzheim - Rhin (Haut-) - fr-68042;Haute-Sorne - Jura - ch-6729;fr-68042;ch-6729;0.770392079
Blotzheim - Rhin (Haut-) - fr-68042;Porrentruy - Jura - ch-6800;fr-68042;ch-6800;2.232279792
Bollwiller - Rhin (Haut-) - fr-68043;Basel - Bâle-Ville - ch-2701;fr-68043;ch-2701;94.45522178
Bollwiller - Rhin (Haut-) - fr-68043;Riehen - Bâle-Ville - ch-2703;fr-68043;ch-2703;1.864535887
Bollwiller - Rhin (Haut-) - fr-68043;Boncourt - Jura - ch-6774;fr-68043;ch-6774;0.975836594
Bollwiller - Rhin (Haut-) - fr-68043;Delémont - Jura - ch-6711;fr-68043;ch-6711;2.06687128
Bollwiller - Rhin (Haut-) - fr-68043;Porrentruy - Jura - ch-6800;fr-68043;ch-6800;1.864890666
Le Bonhomme - Rhin (Haut-) - fr-68044;Basel - Bâle-Ville - ch-2701;fr-68044;ch-2701;0.628563881
Bourbach-le-Bas - Rhin (Haut-) - fr-68045;Basel - Bâle-Ville - ch-2701;fr-68045;ch-2701;1.41845808
Bourbach-le-Haut - Rhin (Haut-) - fr-68046;Basel - Bâle-Ville - ch-2701;fr-68046;ch-2701;0.964415701
Bouxwiller - Rhin (Haut-) - fr-68049;Basel - Bâle-Ville - ch-2701;fr-68049;ch-2701;2.93094291
Bréchaumont - Rhin (Haut-) - fr-68050;Basel - Bâle-Ville - ch-2701;fr-68050;ch-2701;2.998601196
